label,message
spam,Claim your free iPhone now! Only 5 left! http://iphone-lottery.biz
ham,Don't forget to submit the project report by 6 PM.
ham,Good luck for your exam! You’ve got this.
ham,I'll send you the payment confirmation by evening.
spam,Your parcel is pending delivery. Pay ₹49 to confirm: http://track-myorder.xyz
spam,Complete your KYC to avoid account suspension: http://kyc-checker.info
spam,Congratulations! You've won a ₹1000 Amazon gift card. Claim now at http://bit.ly/win-prize
spam,Claim your free iPhone now! Only 5 left! http://iphone-lottery.biz
ham,Can you share the lecture notes from today's class?
ham,Good luck for your exam! You’ve got this.
ham,Can we shift our call to 8:30 instead?
ham,I'll send you the payment confirmation by evening.
ham,Good luck for your exam! You’ve got this.
ham,Let’s finalize the PPT by tonight.
spam,You’ve been selected for a work-from-home opportunity. Apply now: http://easyincome.live
ham,Good luck for your exam! You’ve got this.
spam,Your parcel is pending delivery. Pay ₹49 to confirm: http://track-myorder.xyz
ham,Team meeting is rescheduled to 4 PM today.
ham,I'll send you the payment confirmation by evening.
spam,You’ve been selected for a work-from-home opportunity. Apply now: http://easyincome.live
spam,Congratulations! You've won a ₹1000 Amazon gift card. Claim now at http://bit.ly/win-prize
ham,Can we shift our call to 8:30 instead?
ham,Team meeting is rescheduled to 4 PM today.
ham,Let's catch up for coffee this weekend.
spam,🚨URGENT: Your bank account is on hold. Verify immediately: http://secure-update.co
ham,"Hey, are you coming to the meeting tomorrow?"
ham,Team meeting is rescheduled to 4 PM today.
spam,You’ve been selected for a work-from-home opportunity. Apply now: http://easyincome.live
ham,Let’s finalize the PPT by tonight.
ham,I'll send you the payment confirmation by evening.
spam,Claim your free iPhone now! Only 5 left! http://iphone-lottery.biz
ham,Team meeting is rescheduled to 4 PM today.
ham,Can you share the lecture notes from today's class?
spam,Claim your free iPhone now! Only 5 left! http://iphone-lottery.biz
spam,Exclusive deal: Buy 1 Get 3 FREE on branded shoes. Click here: http://shoe-mania.sale
ham,"Hey, are you coming to the meeting tomorrow?"
spam,You’ve been selected for a work-from-home opportunity. Apply now: http://easyincome.live
spam,Congratulations! You've won a ₹1000 Amazon gift card. Claim now at http://bit.ly/win-prize
ham,Can you share the lecture notes from today's class?
ham,Can you share the lecture notes from today's class?
ham,I'll send you the payment confirmation by evening.
ham,Team meeting is rescheduled to 4 PM today.
ham,Good luck for your exam! You’ve got this.
ham,Can we shift our call to 8:30 instead?
spam,Exclusive deal: Buy 1 Get 3 FREE on branded shoes. Click here: http://shoe-mania.sale
ham,Team meeting is rescheduled to 4 PM today.
spam,Limited Time Offer! Netflix Premium at ₹99/month. Get access now: http://flix-offer.shop
ham,"Hey, are you coming to the meeting tomorrow?"
ham,Lunch at the usual place?
ham,I'll send you the payment confirmation by evening.
ham,Let’s finalize the PPT by tonight.
ham,Lunch at the usual place?
ham,Lunch at the usual place?
ham,Good luck for your exam! You’ve got this.
spam,Claim your free iPhone now! Only 5 left! http://iphone-lottery.biz
spam,Complete your KYC to avoid account suspension: http://kyc-checker.info
spam,Your parcel is pending delivery. Pay ₹49 to confirm: http://track-myorder.xyz
ham,Let's catch up for coffee this weekend.
ham,Let's catch up for coffee this weekend.
ham,Can we shift our call to 8:30 instead?
spam,Your parcel is pending delivery. Pay ₹49 to confirm: http://track-myorder.xyz
spam,Limited Time Offer! Netflix Premium at ₹99/month. Get access now: http://flix-offer.shop
spam,You’ve been selected for a work-from-home opportunity. Apply now: http://easyincome.live
spam,Exclusive deal: Buy 1 Get 3 FREE on branded shoes. Click here: http://shoe-mania.sale
spam,Your parcel is pending delivery. Pay ₹49 to confirm: http://track-myorder.xyz
ham,Good luck for your exam! You’ve got this.
spam,Claim your free iPhone now! Only 5 left! http://iphone-lottery.biz
ham,Let's catch up for coffee this weekend.
ham,Good luck for your exam! You’ve got this.
ham,Team meeting is rescheduled to 4 PM today.
ham,Lunch at the usual place?
ham,Let's catch up for coffee this weekend.
spam,🔒 Security Alert: Suspicious login detected. Secure account: http://secure-now.me
spam,🔒 Security Alert: Suspicious login detected. Secure account: http://secure-now.me
ham,Team meeting is rescheduled to 4 PM today.
ham,Don't forget to submit the project report by 6 PM.
spam,Your parcel is pending delivery. Pay ₹49 to confirm: http://track-myorder.xyz
ham,Let's catch up for coffee this weekend.
spam,You’ve been selected for a work-from-home opportunity. Apply now: http://easyincome.live
spam,You’ve been selected for a work-from-home opportunity. Apply now: http://easyincome.live
spam,Complete your KYC to avoid account suspension: http://kyc-checker.info
ham,"Hey, are you coming to the meeting tomorrow?"
spam,🚨URGENT: Your bank account is on hold. Verify immediately: http://secure-update.co
spam,Claim your free iPhone now! Only 5 left! http://iphone-lottery.biz
spam,Get rich in 30 days with crypto! Join now: http://crypto-boost.org
ham,Good luck for your exam! You’ve got this.
ham,Let's catch up for coffee this weekend.
ham,Good luck for your exam! You’ve got this.
ham,"Hey, are you coming to the meeting tomorrow?"
ham,I'll send you the payment confirmation by evening.
ham,Team meeting is rescheduled to 4 PM today.
spam,🔒 Security Alert: Suspicious login detected. Secure account: http://secure-now.me
spam,Limited Time Offer! Netflix Premium at ₹99/month. Get access now: http://flix-offer.shop
spam,🔒 Security Alert: Suspicious login detected. Secure account: http://secure-now.me
ham,Let's catch up for coffee this weekend.
ham,Team meeting is rescheduled to 4 PM today.
ham,Can we shift our call to 8:30 instead?
spam,🚨URGENT: Your bank account is on hold. Verify immediately: http://secure-update.co
ham,Can you share the lecture notes from today's class?
ham,Can you share the lecture notes from today's class?
ham,Don't forget to submit the project report by 6 PM.
spam,Congratulations! You've won a ₹1000 Amazon gift card. Claim now at http://bit.ly/win-prize
ham,I'll send you the payment confirmation by evening.
spam,Complete your KYC to avoid account suspension: http://kyc-checker.info
spam,🔒 Security Alert: Suspicious login detected. Secure account: http://secure-now.me
spam,Claim your free iPhone now! Only 5 left! http://iphone-lottery.biz
spam,Exclusive deal: Buy 1 Get 3 FREE on branded shoes. Click here: http://shoe-mania.sale
spam,Complete your KYC to avoid account suspension: http://kyc-checker.info
spam,🚨URGENT: Your bank account is on hold. Verify immediately: http://secure-update.co
ham,Team meeting is rescheduled to 4 PM today.
spam,🔒 Security Alert: Suspicious login detected. Secure account: http://secure-now.me
ham,I'll send you the payment confirmation by evening.
ham,Let's catch up for coffee this weekend.
spam,Congratulations! You've won a ₹1000 Amazon gift card. Claim now at http://bit.ly/win-prize
spam,Complete your KYC to avoid account suspension: http://kyc-checker.info
ham,Team meeting is rescheduled to 4 PM today.
ham,I'll send you the payment confirmation by evening.
ham,Lunch at the usual place?
ham,Can you share the lecture notes from today's class?
ham,Lunch at the usual place?
spam,Congratulations! You've won a ₹1000 Amazon gift card. Claim now at http://bit.ly/win-prize
ham,Can we shift our call to 8:30 instead?
ham,I'll send you the payment confirmation by evening.
